gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1807452807	cb9beff3-a185-486f-975a-732251444158	http://coldb.mnhn.fr/catalognumber/um/mpu/mpu262587	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.				PRESENT		2853c0e7-c758-4c9c-83a2-7c2d18967fb9													3064472	3064472	PRESERVED_SPECIMEN	UM	MPU	MPU262587				CC_BY_4_0					2023-01-26T07:23:08.044Z	StillImage	COLLECTION_MATCH_FUZZY
1807452802	cb9beff3-a185-486f-975a-732251444158	http://coldb.mnhn.fr/catalognumber/um/mpu/mpu262592	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.				PRESENT		2853c0e7-c758-4c9c-83a2-7c2d18967fb9													3064472	3064472	PRESERVED_SPECIMEN	UM	MPU	MPU262592				CC_BY_4_0					2023-01-26T07:23:08.200Z	StillImage	COLLECTION_MATCH_FUZZY
1807452749	cb9beff3-a185-486f-975a-732251444158	http://coldb.mnhn.fr/catalognumber/um/mpu/mpu262609	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.				PRESENT		2853c0e7-c758-4c9c-83a2-7c2d18967fb9													3064472	3064472	PRESERVED_SPECIMEN	UM	MPU	MPU262609				CC_BY_4_0					2023-01-26T07:23:14.452Z	StillImage	COLLECTION_MATCH_FUZZY
1807452743	cb9beff3-a185-486f-975a-732251444158	http://coldb.mnhn.fr/catalognumber/um/mpu/mpu262602	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.				PRESENT		2853c0e7-c758-4c9c-83a2-7c2d18967fb9													3064472	3064472	PRESERVED_SPECIMEN	UM	MPU	MPU262602				CC_BY_4_0					2023-01-26T07:23:08.154Z	StillImage	COLLECTION_MATCH_FUZZY
1807452741	cb9beff3-a185-486f-975a-732251444158	http://coldb.mnhn.fr/catalognumber/um/mpu/mpu262579	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.				PRESENT		2853c0e7-c758-4c9c-83a2-7c2d18967fb9													3064472	3064472	PRESERVED_SPECIMEN	UM	MPU	MPU262579				CC_BY_4_0					2023-01-26T07:23:14.725Z	StillImage	COLLECTION_MATCH_FUZZY
1807452724	cb9beff3-a185-486f-975a-732251444158	http://coldb.mnhn.fr/catalognumber/um/mpu/mpu262552	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.				PRESENT		2853c0e7-c758-4c9c-83a2-7c2d18967fb9													3064472	3064472	PRESERVED_SPECIMEN	UM	MPU	MPU262552				CC_BY_4_0					2023-01-26T07:23:07.991Z	StillImage	COLLECTION_MATCH_FUZZY
1807452719	cb9beff3-a185-486f-975a-732251444158	http://coldb.mnhn.fr/catalognumber/um/mpu/mpu262586	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.				PRESENT		2853c0e7-c758-4c9c-83a2-7c2d18967fb9													3064472	3064472	PRESERVED_SPECIMEN	UM	MPU	MPU262586				CC_BY_4_0					2023-01-26T07:23:07.966Z	StillImage	COLLECTION_MATCH_FUZZY
1807452718	cb9beff3-a185-486f-975a-732251444158	http://coldb.mnhn.fr/catalognumber/um/mpu/mpu262585	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.				PRESENT		2853c0e7-c758-4c9c-83a2-7c2d18967fb9													3064472	3064472	PRESERVED_SPECIMEN	UM	MPU	MPU262585				CC_BY_4_0					2023-01-26T07:23:15.059Z	StillImage	COLLECTION_MATCH_FUZZY
1807452717	cb9beff3-a185-486f-975a-732251444158	http://coldb.mnhn.fr/catalognumber/um/mpu/mpu262608	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.				PRESENT		2853c0e7-c758-4c9c-83a2-7c2d18967fb9													3064472	3064472	PRESERVED_SPECIMEN	UM	MPU	MPU262608				CC_BY_4_0					2023-01-26T07:23:10.424Z	StillImage	COLLECTION_MATCH_FUZZY
1807452715	cb9beff3-a185-486f-975a-732251444158	http://coldb.mnhn.fr/catalognumber/um/mpu/mpu262601	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.				PRESENT		2853c0e7-c758-4c9c-83a2-7c2d18967fb9													3064472	3064472	PRESERVED_SPECIMEN	UM	MPU	MPU262601				CC_BY_4_0					2023-01-26T07:23:08.207Z	StillImage	COLLECTION_MATCH_FUZZY
1807452712	cb9beff3-a185-486f-975a-732251444158	http://coldb.mnhn.fr/catalognumber/um/mpu/mpu262590	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.				PRESENT		2853c0e7-c758-4c9c-83a2-7c2d18967fb9													3064472	3064472	PRESERVED_SPECIMEN	UM	MPU	MPU262590				CC_BY_4_0					2023-01-26T07:23:08.201Z	StillImage	COLLECTION_MATCH_FUZZY
1807452711	cb9beff3-a185-486f-975a-732251444158	http://coldb.mnhn.fr/catalognumber/um/mpu/mpu262520	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.				PRESENT		2853c0e7-c758-4c9c-83a2-7c2d18967fb9													3064472	3064472	PRESERVED_SPECIMEN	UM	MPU	MPU262520				CC_BY_4_0					2023-01-26T07:23:08.207Z	StillImage	COLLECTION_MATCH_FUZZY
